horizon_ms,effect_bp,power_pct,required_effective_N,required_raw_ticks,required_quote_events,required_usable_days,required_calendar_days
5000,0.1,80,1095,53816,53816,0.3,0.4
5000,0.1,90,1466,72050,72050,0.4,0.5
5000,0.1,95,1813,89105,89105,0.4,0.6
5000,0.2,80,274,13466,13466,0.1,0.1
5000,0.2,90,367,18037,18037,0.1,0.1
5000,0.2,95,454,22313,22313,0.1,0.2
5000,0.3,80,122,5996,5996,0.0,0.0
5000,0.3,90,163,8011,8011,0.0,0.1
5000,0.3,95,202,9927,9927,0.0,0.1
5000,0.5,80,44,2162,2162,0.0,0.0
5000,0.5,90,59,2899,2899,0.0,0.0
5000,0.5,95,73,3587,3587,0.0,0.0
5000,1.0,80,11,540,540,0.0,0.0
5000,1.0,90,15,737,737,0.0,0.0
5000,1.0,95,19,933,933,0.0,0.0
10000,0.1,80,1975,194147,194147,1.0,1.3
10000,0.1,90,2644,259911,259911,1.3,1.8
10000,0.1,95,3270,321449,321449,1.6,2.2
10000,0.2,80,494,48561,48561,0.2,0.3
10000,0.2,90,661,64977,64977,0.3,0.4
10000,0.2,95,818,80411,80411,0.4,0.6
10000,0.3,80,220,21626,21626,0.1,0.1
10000,0.3,90,294,28900,28900,0.1,0.2
10000,0.3,95,364,35782,35782,0.2,0.2
10000,0.5,80,79,7765,7765,0.0,0.1
10000,0.5,90,106,10420,10420,0.1,0.1
10000,0.5,95,131,12877,12877,0.1,0.1
10000,1.0,80,20,1966,1966,0.0,0.0
10000,1.0,90,27,2654,2654,0.0,0.0
10000,1.0,95,33,3243,3243,0.0,0.0
30000,0.1,80,5753,1682211,1682211,8.3,11.5
30000,0.1,90,7702,2252110,2252110,11.1,15.5
30000,0.1,95,9525,2785165,2785165,13.8,19.1
30000,0.2,80,1439,420772,420772,2.1,2.9
30000,0.2,90,1926,563173,563173,2.8,3.9
30000,0.2,95,2382,696510,696510,3.4,4.8
30000,0.3,80,640,187139,187139,0.9,1.3
30000,0.3,90,856,250299,250299,1.2,1.7
30000,0.3,95,1059,309657,309657,1.5,2.1
30000,0.5,80,231,67545,67545,0.3,0.5
30000,0.5,90,309,90353,90353,0.4,0.6
30000,0.5,95,381,111406,111406,0.6,0.8
30000,1.0,80,58,16959,16959,0.1,0.1
30000,1.0,90,78,22807,22807,0.1,0.2
30000,1.0,95,96,28070,28070,0.1,0.2
60000,0.1,80,10716,6269359,6269359,31.0,43.0
60000,0.1,90,14345,8392493,8392493,41.5,57.6
60000,0.1,95,17741,10379311,10379311,51.3,71.2
60000,0.2,80,2679,1567339,1567339,7.7,10.8
60000,0.2,90,3587,2098562,2098562,10.4,14.4
60000,0.2,95,4436,2595266,2595266,12.8,17.8
60000,0.3,80,1191,696790,696790,3.4,4.8
60000,0.3,90,1594,932564,932564,4.6,6.4
60000,0.3,95,1972,1153711,1153711,5.7,7.9
60000,0.5,80,429,250984,250984,1.2,1.7
60000,0.5,90,574,335816,335816,1.7,2.3
60000,0.5,95,710,415383,415383,2.1,2.9
60000,1.0,80,108,63185,63185,0.3,0.4
60000,1.0,90,144,84246,84246,0.4,0.6
60000,1.0,95,178,104138,104138,0.5,0.7
300000,0.1,80,52273,171521101,171521101,847.6,1177.2
300000,0.1,90,69979,229619022,229619022,1134.7,1576.0
300000,0.1,95,86544,283973030,283973030,1403.3,1949.0
300000,0.2,80,13069,42882736,42882736,211.9,294.3
300000,0.2,90,17495,57405575,57405575,283.7,394.0
300000,0.2,95,21636,70993257,70993257,350.8,487.3
300000,0.3,80,5809,19060816,19060816,94.2,130.8
300000,0.3,90,7776,25515047,25515047,126.1,175.1
300000,0.3,95,9616,31552558,31552558,155.9,216.6
300000,0.5,80,2091,6861106,6861106,33.9,47.1
300000,0.5,90,2800,9187517,9187517,45.4,63.1
300000,0.5,95,3462,11359708,11359708,56.1,78.0
300000,1.0,80,523,1716096,1716096,8.5,11.8
300000,1.0,90,700,2296879,2296879,11.4,15.8
300000,1.0,95,866,2841567,2841567,14.0,19.5
