,fwd_1,fwd_2,fwd_5,fwd_10,fwd_15,fwd_30,fwd_60,fvol_5,fvol_15,fvol_30,fvol_60
tick_count,0.01491,0.01569,0.01453,0.01342,0.0105,-0.00971,-0.0281,0.52983,0.62114,0.61228,0.55126
tick_count_r30,0.00801,0.00612,0.00022,-0.00385,-0.00535,-0.02279,-0.03981,0.49141,0.58759,0.58093,0.51863
tick_count_r120,0.00178,-0.00126,-0.00751,-0.01077,-0.01522,-0.0339,-0.05369,0.32251,0.36943,0.34152,0.24839
z_tick_count_120,0.0167,0.01979,0.02524,0.0311,0.03564,0.03664,0.0426,0.31571,0.37973,0.39911,0.42015
arrival,0.01482,0.01555,0.01443,0.0133,0.01026,-0.00979,-0.0281,0.52975,0.62101,0.61217,0.55126
arrival_r30,0.00801,0.00612,0.00021,-0.00387,-0.00537,-0.02279,-0.03967,0.49144,0.58767,0.58107,0.5188
arrival_r120,0.00178,-0.00125,-0.00751,-0.01076,-0.01521,-0.03384,-0.05357,0.32264,0.36959,0.34169,0.24853
z_arrival_120,0.01664,0.01961,0.0251,0.03096,0.03523,0.03647,0.04245,0.3155,0.3793,0.39869,0.41989
spread,-0.00915,-0.01199,-0.01874,-0.02431,-0.02416,-0.02192,-0.01386,-0.21012,-0.25142,-0.2622,-0.26455
spread_r30,-0.00699,-0.00941,-0.01247,-0.01855,-0.01803,-0.01822,-0.01201,-0.19695,-0.23602,-0.24657,-0.24516
spread_r120,-0.00358,-0.0048,-0.00636,-0.01152,-0.01055,-0.01324,-0.01112,-0.17915,-0.20747,-0.21182,-0.19787
z_spread_120,-0.01019,-0.01291,-0.02297,-0.01956,-0.02257,-0.02177,-0.022,-0.11114,-0.15215,-0.17808,-0.22542
tick_imb,-0.0059,0.00129,0.00631,0.00096,0.00054,0.00462,0.00161,0.00533,0.0021,0.00324,0.0077
tick_imb_r30,-0.00025,0.00096,0.00265,0.00841,0.01703,0.0197,0.02846,0.0068,0.0159,0.02209,0.04058
tick_imb_r120,0.00315,0.00487,0.00881,0.01176,0.01826,0.02202,0.02484,0.04051,0.06033,0.07647,0.09459
z_tick_imb_120,-0.00627,-0.00037,0.00478,-0.00072,-0.00309,-0.00018,-0.00345,-0.00049,-0.00734,-0.00958,-0.00886
vol_imb,,,,,,,,,,,
vol_imb_r30,,,,,,,,,,,
vol_imb_r120,,,,,,,,,,,
z_vol_imb_120,,,,,,,,,,,
buy_pressure,-0.00558,0.0017,0.00663,0.00133,0.00073,0.00403,0.00051,0.01981,0.01897,0.01999,0.02272
buy_pressure_r30,0.00045,0.00155,0.00274,0.00778,0.01592,0.01687,0.02528,0.04634,0.0619,0.06716,0.08121
buy_pressure_r120,0.00327,0.00495,0.00829,0.01088,0.017,0.01911,0.01941,0.07262,0.0961,0.10796,0.11364
z_buy_pressure_120,-0.00589,0.0001,0.00532,3e-05,-0.00242,0.0002,-0.00324,0.00738,0.00214,0.00059,0.00185
impact,0.01137,0.01139,0.01034,0.00679,0.00664,-0.00089,-0.00566,0.43745,0.50213,0.49423,0.46056
impact_r30,0.00672,0.00561,0.00141,-0.00347,-0.00036,-0.00251,-0.01603,0.46328,0.55365,0.55507,0.51639
impact_r120,0.00143,-0.00076,-0.00659,-0.01057,-0.01231,-0.0249,-0.04153,0.34321,0.3979,0.38387,0.32218
z_impact_120,0.01161,0.0113,0.01486,0.01535,0.01756,0.02352,0.03936,0.21786,0.2462,0.2521,0.26784
flow_persist,-0.00088,0.00069,0.00478,0.01282,0.01151,0.00755,0.00716,0.00616,0.00902,0.00776,0.00452
spread_chg,-0.0004,0.00622,0.00337,0.00255,0.00078,0.00352,-0.00025,0.00475,0.0042,0.00425,-0.00051
