calibration_id,direction,volume,entry_order,entry_deal,exit_order,exit_deal,entry_fill_price,exit_fill_price,broker_profit,broker_commission,broker_swap,broker_net_pnl,old_net_pnl,corrected_net_pnl,observed_spread,entry_slippage,exit_slippage,hold_actual_ms,contract_size,tick_size,tick_value,currency_profit,reconciliation_error,reconciliation_status,evidence_status
V3CAL-00,LONG,0.01,2376580382,2363426581,2376580385,2363426585,4373.73,4373.85,0.12,-0.22,0,-0.1,-0.15999999999919964,-0.09999999999919965,0.18000000000029104,0.019999999999527063,-0.3000000000001819,362.358,100.0,0.01,0.1,USD,8.003597784522753e-13,PASS,broker_deals=OBSERVED;spec=OBSERVED;entry_quote=OBSERVED;DATA_GAP_TICK_VALUE_INCONSISTENT;exit_quote=AUDIT_CSV_SUPPLEMENTARY
V3CAL-01,SHORT,0.01,2376580387,2363426587,2376580388,2363426588,4373.77,4373.96,-0.19,-0.22,0,-0.41,-0.14999999999898136,-0.4099999999995998,0.17999999999938154,0.0,0.0,531.27,100.0,0.01,0.1,USD,4.0023540037736893e-13,PASS,broker_deals=OBSERVED;spec=OBSERVED;entry_quote=OBSERVED;DATA_GAP_TICK_VALUE_INCONSISTENT;exit_quote=AUDIT_CSV_SUPPLEMENTARY
V3CAL-02,LONG,0.01,2376580389,2363426589,2376580390,2363426590,4373.97,4373.82,-0.15,-0.22,0,-0.37,-0.12000000000105501,-0.37000000000054567,0.18000000000029104,0.010000000000218279,0.0,778.357,100.0,0.01,0.1,USD,-5.456746166032644e-13,PASS,broker_deals=OBSERVED;spec=OBSERVED;entry_quote=OBSERVED;DATA_GAP_TICK_VALUE_INCONSISTENT;exit_quote=AUDIT_CSV_SUPPLEMENTARY
V3CAL-03,SHORT,0.01,2376580391,2363426591,2376580392,2363426592,4373.82,4374.04,-0.22,-0.22,0,-0.44,-0.1800000000005457,-0.44000000000025463,0.18000000000029104,0.0,0.0,1275.387,100.0,0.01,0.1,USD,-2.5462965069777965e-13,PASS,broker_deals=OBSERVED;spec=OBSERVED;entry_quote=OBSERVED;DATA_GAP_TICK_VALUE_INCONSISTENT;exit_quote=AUDIT_CSV_SUPPLEMENTARY
V3CAL-04,LONG,0.01,2376580393,2363426593,2376580402,2363426600,4374.04,4373.86,-0.18,-0.22,0,-0.4,-0.14000000000058208,-0.400000000000291,0.18000000000029104,0.0,0.0,2271.758,100.0,0.01,0.1,USD,-2.9098945475425353e-13,PASS,broker_deals=OBSERVED;spec=OBSERVED;entry_quote=OBSERVED;DATA_GAP_TICK_VALUE_INCONSISTENT;exit_quote=AUDIT_CSV_SUPPLEMENTARY
V3CAL-05,SHORT,0.01,2376580403,2363426601,2376580404,2363426602,4373.86,4374.04,-0.18,-0.22,0,-0.4,-0.14000000000058208,-0.400000000000291,0.18000000000029104,0.0,0.0,373.825,100.0,0.01,0.1,USD,-2.9098945475425353e-13,PASS,broker_deals=OBSERVED;spec=OBSERVED;entry_quote=OBSERVED;DATA_GAP_TICK_VALUE_INCONSISTENT;exit_quote=AUDIT_CSV_SUPPLEMENTARY
V3CAL-06,LONG,0.01,2376580405,2363426603,2376580406,2363426604,4374.05,4373.87,-0.18,-0.22,0,-0.4,-0.14000000000058208,-0.400000000000291,0.18000000000029104,0.0,0.0,519.52,100.0,0.01,0.1,USD,-2.9098945475425353e-13,PASS,broker_deals=OBSERVED;spec=OBSERVED;entry_quote=OBSERVED;DATA_GAP_TICK_VALUE_INCONSISTENT;exit_quote=AUDIT_CSV_SUPPLEMENTARY
V3CAL-07,SHORT,0.01,2376580407,2363426605,2376580408,2363426606,4373.87,4374.05,-0.18,-0.22,0,-0.4,-0.15000000000080035,-0.400000000000291,0.18000000000029104,0.0,-0.010000000000218279,779.496,100.0,0.01,0.1,USD,-2.9098945475425353e-13,PASS,broker_deals=OBSERVED;spec=OBSERVED;entry_quote=OBSERVED;DATA_GAP_TICK_VALUE_INCONSISTENT;exit_quote=AUDIT_CSV_SUPPLEMENTARY
V3CAL-08,LONG,0.01,2376580409,2363426607,2376580411,2363426609,4374.05,4373.87,-0.18,-0.22,0,-0.4,-0.15000000000080035,-0.400000000000291,0.18000000000029104,0.0,-0.010000000000218279,1280.381,100.0,0.01,0.1,USD,-2.9098945475425353e-13,PASS,broker_deals=OBSERVED;spec=OBSERVED;entry_quote=OBSERVED;DATA_GAP_TICK_VALUE_INCONSISTENT;exit_quote=AUDIT_CSV_SUPPLEMENTARY
V3CAL-09,SHORT,0.01,2376580412,2363426610,2376580414,2363426612,4373.87,4374.05,-0.18,-0.22,0,-0.4,-0.14000000000058208,-0.400000000000291,0.18000000000029104,0.0,0.0,2277.127,100.0,0.01,0.1,USD,-2.9098945475425353e-13,PASS,broker_deals=OBSERVED;spec=OBSERVED;entry_quote=OBSERVED;DATA_GAP_TICK_VALUE_INCONSISTENT;exit_quote=AUDIT_CSV_SUPPLEMENTARY
V3CAL-10,LONG,0.01,2376580415,2363426613,2376580416,2363426614,4374.03,4373.83,-0.2,-0.22,0,-0.42,-0.1799999999996362,-0.4199999999998181,0.17999999999938154,0.0,0.020000000000436557,368.805,100.0,0.01,0.1,USD,1.8196555373606316e-13,PASS,broker_deals=OBSERVED;spec=OBSERVED;entry_quote=OBSERVED;DATA_GAP_TICK_VALUE_INCONSISTENT;exit_quote=AUDIT_CSV_SUPPLEMENTARY
V3CAL-11,SHORT,0.01,2376580417,2363426615,2376580418,2363426616,4373.93,4374.11,-0.18,-0.22,0,-0.4,-0.13999999999876309,-0.3999999999993815,0.17999999999938154,0.0,0.0,527.057,100.0,0.01,0.1,USD,6.185052470186747e-13,PASS,broker_deals=OBSERVED;spec=OBSERVED;entry_quote=OBSERVED;DATA_GAP_TICK_VALUE_INCONSISTENT;exit_quote=AUDIT_CSV_SUPPLEMENTARY
V3CAL-12,LONG,0.01,2376580419,2363426617,2376580421,2363426619,4374.15,4374.07,-0.08,-0.22,0,-0.3,-0.11999999999923602,-0.2999999999999272,0.17999999999938154,0.07999999999992724,0.0,775.216,100.0,0.01,0.1,USD,7.277511926417901e-14,PASS,broker_deals=OBSERVED;spec=OBSERVED;entry_quote=OBSERVED;DATA_GAP_TICK_VALUE_INCONSISTENT;exit_quote=AUDIT_CSV_SUPPLEMENTARY
V3CAL-13,SHORT,0.01,2376580422,2363426620,2376580423,2363426621,4374.05,4374.13,-0.08,-0.22,0,-0.3,-0.05999999999974534,-0.2999999999999272,0.18000000000029104,0.019999999999527063,0.0,1278.888,100.0,0.01,0.1,USD,7.277511926417901e-14,PASS,broker_deals=OBSERVED;spec=OBSERVED;entry_quote=OBSERVED;DATA_GAP_TICK_VALUE_INCONSISTENT;exit_quote=AUDIT_CSV_SUPPLEMENTARY
V3CAL-14,LONG,0.01,2376580424,2363426622,2376580426,2363426623,4374.13,4374.03,-0.1,-0.22,0,-0.32,-0.060000000000654835,-0.32000000000036377,0.18000000000029104,0.0,0.0,2284.418,100.0,0.01,0.1,USD,-3.6376457401843254e-13,PASS,broker_deals=OBSERVED;spec=OBSERVED;entry_quote=OBSERVED;DATA_GAP_TICK_VALUE_INCONSISTENT;exit_quote=AUDIT_CSV_SUPPLEMENTARY
V3CAL-15,SHORT,0.01,2376580427,2363426624,2376580428,2363426625,4374.02,4374.2,-0.18,-0.22,0,-0.4,-0.13999999999876309,-0.3999999999993815,0.17999999999938154,0.0,0.0,372.005,100.0,0.01,0.1,USD,6.185052470186747e-13,PASS,broker_deals=OBSERVED;spec=OBSERVED;entry_quote=OBSERVED;DATA_GAP_TICK_VALUE_INCONSISTENT;exit_quote=AUDIT_CSV_SUPPLEMENTARY
V3CAL-16,LONG,0.01,2376580429,2363426626,2376580430,2363426627,4374.22,4374.02,-0.2,-0.22,0,-0.42,-0.19999999999916326,-0.4199999999998181,0.17999999999938154,0.020000000000436557,0.019999999999527063,530.125,100.0,0.01,0.1,USD,1.8196555373606316e-13,PASS,broker_deals=OBSERVED;spec=OBSERVED;entry_quote=OBSERVED;DATA_GAP_TICK_VALUE_INCONSISTENT;exit_quote=AUDIT_CSV_SUPPLEMENTARY
V3CAL-17,SHORT,0.01,2376580431,2363426628,2376580432,2363426629,4374.02,4374.18,-0.16,-0.22,0,-0.38,-0.11999999999923602,-0.37999999999985445,0.17999999999938154,0.0,0.0,788.751,100.0,0.01,0.1,USD,1.4555023852835802e-13,PASS,broker_deals=OBSERVED;spec=OBSERVED;entry_quote=OBSERVED;DATA_GAP_TICK_VALUE_INCONSISTENT;exit_quote=AUDIT_CSV_SUPPLEMENTARY
V3CAL-18,LONG,0.01,2376580433,2363426630,2376580434,2363426631,4374.18,4374.05,-0.13,-0.22,0,-0.35,-0.09000000000040018,-0.3500000000001091,0.18000000000029104,0.0,0.0,1284.546,100.0,0.01,0.1,USD,-1.0913492332065289e-13,PASS,broker_deals=OBSERVED;spec=OBSERVED;entry_quote=OBSERVED;DATA_GAP_TICK_VALUE_INCONSISTENT;exit_quote=AUDIT_CSV_SUPPLEMENTARY
V3CAL-19,SHORT,0.01,2376580435,2363426632,2376580437,2363426633,4374.05,4374.26,-0.21,-0.22,0,-0.43,-0.16999999999941792,-0.43000000000003635,0.17999999999938154,0.0,0.0,2278.904,100.0,0.01,0.1,USD,-3.6359804056473877e-14,PASS,broker_deals=OBSERVED;spec=OBSERVED;entry_quote=OBSERVED;DATA_GAP_TICK_VALUE_INCONSISTENT;exit_quote=AUDIT_CSV_SUPPLEMENTARY
