trade_id,signal,order,fill,exit,tick_before,tick_at/after,max_delta_ms,status
POS-20260907T2355Z,2026-09-08T00:01:24.518486+00:00,,2026-09-08T00:22:23.109926+00:00,2026-09-08T04:26:48.043728+00:00,0,2557143,3815734,PARTIAL
POS-20260908T0532Z,2026-09-08T05:35:54.321710+00:00,,2026-09-08T05:52:34.446997+00:00,2026-09-08T06:04:02.080737+00:00,170,349231,1036865,PARTIAL
POS-20260908T063856,2026-09-08T06:38:56.803239+00:00,,2026-09-08T06:51:09.882690+00:00,2026-09-08T08:04:19.045252+00:00,0,2449963,3131588,PARTIAL
POS-20260908T092012,2026-09-08T09:20:12.375467+00:00,,2026-09-08T09:36:19.754117+00:00,2026-09-08T09:48:50.654956+00:00,214,61,91,PASS
POS-20260908T100753,2026-09-08T10:07:53.004772+00:00,,2026-09-08T10:19:09.754664+00:00,2026-09-08T10:34:25.354465+00:00,146,18,622,PASS
POS-20260908T105022,2026-09-08T10:50:22.516231+00:00,,2026-09-08T10:50:23.121083+00:00,2026-09-08T11:18:26.080053+00:00,152,343,356,PARTIAL
POS-20260908T113739,2026-09-08T11:37:39.084892+00:00,,2026-09-08T12:03:23.050058+00:00,2026-09-08T12:18:23.044079+00:00,142,75,419,PASS
POS-20260908T131419,2026-09-08T13:14:19.828597+00:00,,2026-09-08T13:14:20.451695+00:00,2026-09-08T13:48:42.918773+00:00,158,4,322,PASS
POS-20260908T140456,2026-09-08T14:04:56.518133+00:00,,2026-09-08T15:33:45.756589+00:00,2026-09-08T15:48:21.163193+00:00,132,87,162,PASS
POS-20260908T142140,2026-09-08T14:21:40.788787+00:00,,2026-09-08T14:48:22.844153+00:00,2026-09-08T15:03:41.559435+00:00,146,211,211,PASS
POS-20260908T152001,2026-09-08T15:20:01.356892+00:00,,2026-09-08T15:20:03.494928+00:00,2026-09-08T15:33:45.128006+00:00,185,22,53,PASS
POS-20260908T163554,2026-09-08T16:35:54.289453+00:00,,2026-09-08T17:48:51.082167+00:00,2026-09-08T18:33:29.982786+00:00,232,81,81,PASS
POS-20260908T185008,2026-09-08T18:50:08.954214+00:00,,2026-09-08T19:04:54.742513+00:00,2026-09-08T19:33:40.691855+00:00,185,64,99,PASS
POS-20260908T233624,2026-09-08T23:36:24.420171+00:00,,2026-09-08T23:48:49.149691+00:00,2026-09-09T00:04:39.466500+00:00,82,307,580153,PASS
POS-20260909T002041,2026-09-09T00:20:41.694830+00:00,,2026-09-09T00:48:41.072683+00:00,2026-09-09T01:48:47.060497+00:00,0,979008,1542381,PARTIAL
POS-20260909T0402Z,2026-09-09T04:09:25.711147+00:00,,2026-09-09T04:34:11.843421+00:00,2026-09-09T05:33:18.671470+00:00,199,23,73,PASS
POS-20260909T0547Z,2026-09-09T05:51:47.983872+00:00,,2026-09-09T07:18:53.553841+00:00,2026-09-09T13:46:21.820511+00:00,169,749,749,PASS
POS-20260909T1532Z,2026-09-09T15:38:06.181655+00:00,,2026-09-09T16:05:54.929064+00:00,2026-09-09T17:05:10.740553+00:00,194,56,56,PASS
POS-20260909T1547Z,2026-09-09T15:53:36.154018+00:00,,2026-09-09T17:19:00.873173+00:00,2026-09-09T19:08:14.581111+00:00,182,6,119,PASS
POS-20260909T2202Z,2026-09-09T22:06:03.564392+00:00,,2026-09-09T22:19:30.639929+00:00,2026-09-10T00:03:22.637119+00:00,187,55,503913,PASS
POS-20260910T0202Z,2026-09-10T02:04:46.769477+00:00,,2026-09-10T02:48:09.271631+00:00,2026-09-10T04:47:41.135020+00:00,102,1317,1317,PASS
POS-20260910T0502Z,2026-09-10T05:03:21.030892+00:00,,2026-09-10T05:18:06.008463+00:00,2026-09-10T05:32:41.455129+00:00,189,375,375,PASS
POS-20260910T0732Z,2026-09-10T07:32:52.286698+00:00,,2026-09-10T07:49:11.772807+00:00,2026-09-10T08:17:43.371189+00:00,112,32,516,PASS
POS-20260910T0917Z,2026-09-10T09:19:00.751010+00:00,,2026-09-10T09:33:56.127583+00:00,2026-09-10T10:19:29.955856+00:00,190,280,298,PASS
POS-20260910T1102ZB,2026-09-10T11:05:25.036312+00:00,,2026-09-10T11:34:16.261050+00:00,2026-09-10T12:04:09.432541+00:00,153,64,213,PASS
POS-20260910T133408,2026-09-10T13:34:08.416674+00:00,,2026-09-10T14:03:45.677135+00:00,2026-09-10T18:03:32.156436+00:00,194,139,139,PASS
POS-20260910T1902Z,2026-09-10T19:03:07.200596+00:00,,2026-09-10T19:49:21.453709+00:00,2026-09-11T01:05:34.752545+00:00,196,37,182,PASS
POS-20260911T0132Z,2026-09-11T01:33:50.713702+00:00,,2026-09-11T01:48:48.563849+00:00,2026-09-11T03:34:17.310883+00:00,109,240,240,PASS
POS-20260911T0432Z,2026-09-11T04:33:39.221726+00:00,,2026-09-11T05:19:03.998655+00:00,2026-09-11T05:51:02.639697+00:00,166,172,217,PASS
POS-20260911T0547Zb,2026-09-11T05:52:57.065190+00:00,,2026-09-11T06:19:35.987410+00:00,2026-09-11T07:50:01.914730+00:00,176,33,102,PASS
POS-20260911T0802Z,2026-09-11T08:04:40.860350+00:00,,2026-09-11T08:33:56.955033+00:00,2026-09-11T11:04:41.770211+00:00,126,139,389,PASS
POS-20260911T1117Z,2026-09-11T11:19:05.694812+00:00,,2026-09-11T11:48:45.431637+00:00,2026-09-11T12:19:01.091190+00:00,159,87,756,PASS
